ORIGIN,DEST,delayed,FL_COUNT,rate
MIA,SEA,991,3889,25.482129082026226
MIA,SFO,3850,12488,30.829596412556054
MIA,SLC,154,697,22.094691535150645
MIA,STL,2064,7460,27.66756032171582
MIA,TPA,4194,21474,19.53059513830679
MSP,ATL,8235,53648,15.35005964807635
MSP,AUS,663,4163,15.926014893105933
MSP,BNA,2279,12818,17.77968481822437
MSP,BOS,3686,19299,19.099435203896576
MSP,BWI,2347,13522,17.356899866883595
MSP,CLT,3011,20423,14.743181706899083
MSP,CVG,1950,11506,16.947679471580045
MSP,DAL,0,9,0.0
MSP,DCA,3329,20076,16.58198844391313
MSP,DEN,10394,58587,17.741137112328673
MSP,DFW,5845,30913,18.907902824054602
MSP,DTW,4125,31410,13.132760267430754
MSP,EWR,6756,20006,33.76986903928822
MSP,FLL,884,5481,16.12844371465061
MSP,IAD,1065,5030,21.17296222664016
MSP,IAH,4656,21767,21.390177792070567
MSP,JFK,2227,9655,23.06576903158985
MSP,LAS,3829,24490,15.634953042057983
MSP,LAX,5518,28389,19.43710592130755
MSP,LGA,6981,29621,23.567739104014045
MSP,MCI,2867,18867,15.195844596385221
MSP,MCO,3024,18046,16.757176105508144
MSP,MDW,6354,33344,19.05590211132438
MSP,MIA,1322,9614,13.750780112336175
MSP,MSY,440,2894,15.20387007601935
MSP,OAK,13,166,7.83132530120482
MSP,ORD,15066,68359,22.039526616831726
MSP,PDX,2387,14868,16.05461393596987
MSP,PHL,4500,22403,20.086595545239476
MSP,PHX,6558,41188,15.922113236865107
MSP,RDU,1061,5433,19.528805448187008
MSP,SAN,1801,11909,15.123016206230583
MSP,SEA,4459,28815,15.474579212215861
MSP,SFO,6204,25061,24.7555963449184
MSP,SJC,881,5870,15.008517887563885
MSP,SLC,2486,18766,13.247362250879249
MSP,STL,3557,22298,15.952103327652702
MSP,TPA,1455,9999,14.551455145514552
MSY,ATL,8806,54649,16.113744075829384
MSY,AUS,538,2706,19.881744271988175
MSY,BNA,1782,10895,16.35612666360716
MSY,BOS,1127,4646,24.257425742574256
MSY,BWI,1631,10000,16.31
MSY,CLT,2143,17498,12.247113955880671
MSY,CVG,193,1232,15.665584415584416
MSY,DAL,4767,24204,19.695091720376798
MSY,DCA,935,5683,16.45257786380433
MSY,DEN,2632,16554,15.899480488099552
MSY,DFW,4384,24243,18.083570515200265
MSY,DTW,1071,7954,13.464923309026904
MSY,EWR,2695,10403,25.90598865711814
MSY,FLL,2151,9688,22.202725020644095
MSY,HOU,6241,33260,18.76428141912207
MSY,IAD,789,4727,16.69134757774487
MSY,IAH,4846,34296,14.129927688360159
MSY,JFK,2761,12608,21.898794416243657
MSY,LAS,1278,8263,15.466537577151158
MSY,LAX,3172,17309,18.325726500664395
MSY,LGA,1860,7994,23.267450587940957
MSY,MCI,371,2305,16.09544468546638
MSY,MCO,2846,15294,18.608604681574473
MSY,MDW,1428,7859,18.17025066802392
MSY,MIA,1647,10834,15.202141406682665
MSY,MSP,557,2893,19.253370203940545
MSY,OAK,277,1320,20.984848484848484
MSY,ORD,2828,14032,20.153933865450398
MSY,PHL,1316,6942,18.95707288965716
MSY,PHX,819,3992,20.516032064128257
MSY,RDU,81,320,25.3125
MSY,SAN,281,1729,16.25216888374783
MSY,SEA,274,1686,16.251482799525505
MSY,SFO,749,3128,23.945012787723783
MSY,SJC,1,18,5.555555555555555
MSY,SLC,360,3537,10.178117048346055
MSY,STL,734,4772,15.381391450125733
MSY,TPA,2138,11406,18.744520427844993
OAK,ATL,277,1471,18.830727396329028
OAK,AUS,534,3605,14.812760055478503
OAK,BNA,291,1659,17.540687160940323
OAK,BOS,398,1392,28.59195402298851
OAK,BWI,440,2137,20.589611605053815
OAK,CLT,0,1,0.0
OAK,DAL,545,2920,18.664383561643834
OAK,DEN,2907,16516,17.60111407120368
OAK,DFW,368,1367,26.92026335040234
OAK,DTW,63,360,17.5
OAK,EWR,138,300,46.0
OAK,FLL,5,5,100.0
OAK,HOU,1246,7004,17.789834380354083
OAK,IAD,314,1593,19.711236660389204
OAK,IAH,239,808,29.57920792079208
OAK,JFK,1058,4243,24.935187367428707
OAK,LAS,6228,34555,18.02344089133266
OAK,LAX,14645,59214,24.732326814604654
OAK,MCI,539,3660,14.726775956284152
OAK,MCO,40,180,22.22222222222222
OAK,MDW,1678,10865,15.44408651633686
OAK,MSP,25,166,15.060240963855422
OAK,MSY,293,1319,22.21379833206975
OAK,ORD,231,1045,22.105263157894736
OAK,PDX,3789,19923,19.018220147568137
OAK,PHX,4952,33611,14.733271845526763
OAK,SAN,7705,40452,19.047265895382182
OAK,SEA,6357,36687,17.327663750102214
OAK,SLC,3241,25924,12.50192871470452
OAK,STL,98,909,10.78107810781078
ORD,ATL,17506,71575,24.45826056584003
ORD,AUS,5464,21795,25.069970176646017
ORD,BNA,10718,39004,27.479232899189824
ORD,BOS,17832,69126,25.79637184272199
ORD,BWI,6744,27883,24.186780475558585
ORD,CLT,12235,55504,22.043456327471894
ORD,CVG,9244,37455,24.680283006274195
ORD,DAL,215,892,24.103139013452914
ORD,DCA,16853,70461,23.918195881409574
ORD,DEN,13730,55711,24.645043169212542
ORD,DFW,17980,74997,23.974292305025536
ORD,DTW,13582,56013,24.247942441933123
ORD,EWR,19115,57016,33.525677002946544
ORD,FLL,4490,19740,22.74569402228977
ORD,IAD,4922,21916,22.458477824420513
ORD,IAH,13701,52285,26.204456345032035
ORD,JFK,6366,20253,31.432380388090653
ORD,LAS,9205,40864,22.525939702427564
ORD,LAX,19438,80058,24.279897074620898
ORD,LGA,30033,103318,29.068506939739446
ORD,MCI,9006,35079,25.673479859745147
ORD,MCO,8994,39654,22.68119231351188
